"Microsoft .NET Host FX Resolver - 8.0.17 (x64)","20250722","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft ASP.NET Core 8.0.17 Shared Framework (x64)","20250722","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET AppHost Pack - 8.0.18 (x64_x86)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Google Chrome","20250505","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET 9.0 Templates 9.0.205 (x64)","20250618","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Remote Desktop Manager","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Sophos File Scanner","20250723","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)","20250225","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
"DisplayName","InstallDate","TimeLogged","Exported","RowError","RowState","Table","ItemArray","HasErrors"
"Microsoft .NET Targeting Pack - 8.0.18 (x64)","20250721","2025-07-23 15:57:35","0","","Added","","System.Object[]","False"
